"Ateneo
(categoria)";"Nome corso
(h1 post type corsi.di.laurea)";"slug
del post ""tipo + classe + nome CORSO + ateneo""";"Area di Studio
(term di tax area studio)";"Tipo
(term tax tipologia)";"Classe
(term di tax classe)";"Nome Classe
(descrizione di term tax classe)";"Note
attributo del post corso di laurea";"Costo
attributo di post corsi di laurea";"Curricula
(termini multipli di tassonomia curricula)";"Durata
attributo tax tipologia";"CFU
attributo del post"
6. Unicusano;Ingegneria Elettronica;;Ingegneria;Laurea magistrale;LM-29;Ingegneria elettronica;;;;2 Anni;120
6. Unicusano;Ingegneria Meccanica;;Ingegneria;Laurea magistrale;LM-33;Ingegneria meccanica;;;;2 Anni;120
6. Unicusano;Psicologia;;Psicologia;Laurea magistrale;LM-51;Psicologia;;;Psicologia clinica e della Riabilitazione,Psicologia del Lavoro e delle Organizzazioni;2 Anni;120
6. Unicusano;Relazioni internazionali (LM-52);;Scienze Politiche;Laurea magistrale;LM-52;Relazioni internazionali;;;;2 Anni;120
6. Unicusano;Scienze economiche;;Economia;Laurea magistrale;LM-56;Scienze dell'economia;;;Mercati globali e innovazione digitale,Gesione e professioni d'impresa;2 Anni;120
6. Unicusano;Scienze Pedagogiche;;Scienze della Formazione;Laurea magistrale;LM-85;Scienze pedagogiche;;;;2 Anni;120
6. Unicusano;Giurisprudenza;;Giurisprudenza;Laurea magistrale a ciclo unico;LMG-01;Giurisprudenza;;;;;
7. Unipegaso;Ingegneria Civile;;Ingegneria;Laurea triennale;L-07;Ingegneria Civile e Ambientale;;3.000,00 €;;3 anni;180
7. Unipegaso;Lettere, Sapere Umanistico e Formazione;;Scienze dell’Educazione e Formazione;Laurea triennale;L-10;Lettere;;3.000,00 €;;3 anni;180
7. Unipegaso;Corso di Laurea in Scienze Turistiche;;Scienze Turistiche;Laurea triennale;L-15;Scienze del Turismo;;3.000,00 €;;3 anni;180
7. Unipegaso;Economia Aziendale;;Economia;Laurea triennale;L-18;Scienze dell'economia e della gestione aziendale;;3.000,00 €;;3 anni;180
7. Unipegaso;Scienze dell'Educazione e della Formazione;;Scienze dell’Educazione e Formazione;Laurea triennale;L-19;Scienze dell'Educazione e della Formazione;;3.000,00 €;;3 anni;180
7. Unipegaso;Scienze Motorie;;Scienze Motorie;Laurea triennale;L-22;Scienze delle Attività Motorie e Sportive;;3.000,00 €;;3 anni;180
7. Unipegaso;Ingegneria della Sicurezza;;Ingegneria;Laurea magistrale;LM-26;Ingegneria della sicurezza;;3.000,00 €;;2 Anni;120
7. Unipegaso;Linguistica Moderna;;Lettere;Laurea magistrale;LM-39;Linguistica;;3.000,00 €;;2 Anni;120
7. Unipegaso;Management dello Sport e delle Attività Motorie;;Scienze Motorie;Laurea magistrale;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;;3.000,00 €;;2 Anni;120
7. Unipegaso;Scienze Economiche;;Economia;Laurea magistrale;LM-56;Scienze dell'economia;;3.000,00 €;;2 Anni;120
7. Unipegaso;Scienze Pedagogiche;;Scienze dell’Educazione e Formazione;Laurea magistrale;LM-85;Scienze pedagogiche;;3.000,00 €;;2 Anni;120
7. Unipegaso;Giurisprudenza;;Giurisprudenza;Laurea magistrale a ciclo unico;LMG-01;Giurisprudenza;;3.000,00 €;;;
7. Unipegaso;I Media per la didattica e gli strumenti per la gestione della classe;;;;;;;;;;
7. Unipegaso;Interprete lingua dei segni italiana: ruolo, funzione e applicazione – Ambito didattico educativo - professionale;;;;;;;1.800,00 €;;;
8. Mercatorum;Scienze e Tecnologie delle Arti, dello Spettacolo e del Cinema;;-;Laurea triennale;L-03;Discipline delle Arti Figurative, della Musica, dello Spettacolo e della Moda;;4.000,00 €;;3 anni;180
8. Mercatorum;Design del Prodotto e della Moda;;-;Laurea triennale;L-04;Disegno Industriale;;4.000,00 €;;3 anni;180
8. Mercatorum;Ingegneria Informatica;;Ingegneria;Laurea triennale;L-08;Ingegneria dell'Informazione;;3.000,00 €;;3 anni;180
3. San Raffaele;Scienze della Nutrizione Umana;;Agraria;Laurea magistrale;LM-61;Scienze della Nutrizione Umana;;;Nutraceutica,Nutrizione;2 Anni;120
8. Mercatorum;Lingue e Mercati;;-;Laurea triennale;L-12;Mediazione Linguistica;;3.000,00 €;;3 anni;180
